,age,time_stamp
0,10 and Under,2018-06-21 17:31:00+00:00
1,11-17 years,2018-06-21 17:35:00+00:00
2,18+,2018-06-21 17:37:00+00:00
3,10 and Under,2018-06-21 17:47:00+00:00
4,Skip,2018-06-21 17:52:00+00:00
5,18+,2018-06-21 18:01:00+00:00
6,10 and Under,2018-06-21 18:08:00+00:00
7,11-17 years,2018-06-21 18:14:00+00:00
8,10 and Under,2018-06-21 18:21:00+00:00
9,11-17 years,2018-06-21 18:25:00+00:00
10,18+,2018-06-22 15:10:00+00:00
11,11-17 years,2018-06-22 15:23:00+00:00
12,10 and Under,2018-06-22 15:28:00+00:00
13,Skip,2018-06-22 16:01:00+00:00
14,Skip,2018-06-22 16:04:00+00:00
15,18+,2018-06-22 16:21:00+00:00
16,10 and Under,2018-06-22 16:23:00+00:00
17,10 and Under,2018-06-22 16:25:00+00:00
18,18+,2018-06-22 16:27:00+00:00
19,10 and Under,2018-06-22 16:29:00+00:00
20,10 and Under,2018-06-22 16:37:00+00:00
21,10 and Under,2018-06-22 16:51:00+00:00
22,18+,2018-06-22 17:01:00+00:00
23,18+,2018-06-22 17:08:00+00:00
24,10 and Under,2018-06-22 17:30:00+00:00
25,18+,2018-06-22 17:57:00+00:00
26,18+,2018-06-22 18:17:00+00:00
27,Skip,2018-06-22 18:22:00+00:00
28,10 and Under,2018-06-22 18:25:00+00:00
29,18+,2018-06-22 18:37:00+00:00
30,10 and Under,2018-06-22 18:46:00+00:00
31,10 and Under,2018-06-22 18:50:00+00:00
32,11-17 years,2018-06-22 18:57:00+00:00
33,10 and Under,2018-06-22 18:59:00+00:00
34,18+,2018-06-22 19:11:00+00:00
35,Skip,2018-06-22 19:16:00+00:00
36,18+,2018-06-22 19:23:00+00:00
37,Skip,2018-06-23 15:07:00+00:00
38,18+,2018-06-23 15:31:00+00:00
39,18+,2018-06-23 15:43:00+00:00
40,11-17 years,2018-06-23 15:55:00+00:00
41,Skip,2018-06-23 16:19:00+00:00
42,10 and Under,2018-06-23 17:00:00+00:00
43,10 and Under,2018-06-23 18:22:00+00:00
44,10 and Under,2018-06-23 18:24:00+00:00
45,11-17 years,2018-06-23 18:45:00+00:00
46,11-17 years,2018-06-23 18:47:00+00:00
47,18+,2018-06-23 18:53:00+00:00
48,10 and Under,2018-06-23 18:59:00+00:00
49,18+,2018-06-23 19:07:00+00:00
50,Skip,2018-06-23 19:25:00+00:00
51,Skip,2018-06-23 19:33:00+00:00
52,Skip,2018-06-23 19:55:00+00:00
53,10 and Under,2018-06-23 20:00:00+00:00
54,Skip,2018-06-24 15:12:00+00:00
55,10 and Under,2018-06-24 15:42:00+00:00
56,10 and Under,2018-06-24 16:07:00+00:00
57,18+,2018-06-24 16:10:00+00:00
58,Skip,2018-06-24 16:27:00+00:00
59,11-17 years,2018-06-24 16:45:00+00:00
60,Skip,2018-06-24 17:50:00+00:00
61,18+,2018-06-24 18:12:00+00:00
62,Skip,2018-06-24 18:21:00+00:00
63,Skip,2018-06-24 18:22:00+00:00
64,10 and Under,2018-06-24 18:58:00+00:00
65,18+,2018-06-24 19:13:00+00:00
66,10 and Under,2018-06-24 19:21:00+00:00
67,11-17 years,2018-06-24 19:47:00+00:00
