# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180621,12,31,Answer: 10 and Under,SessionID: 63eb56f9998d5fccdd0414a0bb3d5e62a0355768e3fc14dbc6ed83607eb7860a,1
20180621,12,35,Answer: 11-17,SessionID: 6994486e1894911fce44e39b06f74d470d43562b5a42b78bafa150619a28a61c,1
20180621,12,37,Answer: 18+,SessionID: 4e74868c25bc6dcf1f6756d567a62d6edacaac49a5b28e9c732fb582462e8130,1
20180621,12,47,Answer: 10 and Under,SessionID: D9fb50c98cf264aa317c728e7c3a52c5b65a5b517d9e5a411ea67606c1f75234,1
20180621,12,52,Answer: Skip,SessionID: D95870310b1b3c365d775e1e62032abcdc4f8ad325ec21911d08a638b331efe6,1
20180621,13,01,Answer: 18+,SessionID: 039b0018e88882a3d6dae55fc6b5e7ededf7d39fc32a8f4f31fbe208db55caf9,1
20180621,13,08,Answer: 10 and Under,SessionID: 039b0018e88882a3d6dae55fc6b5e7ededf7d39fc32a8f4f31fbe208db55caf9,1
20180621,13,14,Answer: 11-17,SessionID: Bd3633429ebcc58e97cca3924d8902c875c82c5eba09d9fc9b2c18f7b537ff0a,1
20180621,13,21,Answer: 10 and Under,SessionID: 0860fbc50e8cdc9b7edc83ffc1f118a75b886cc0bed947e0087a7d8bfe1395ca,1
20180621,13,25,Answer: 11-17,SessionID: 5287cea42cb1f23c3b52f84482275b27cac83c8354f07fafb81b6ea560244995,1
20180622,10,10,Answer: 18+,SessionID: 9ec52520e8d74511f81455481b14b509cfdde1ebc8682dd2bc3f017d5e50b097,1
20180622,10,23,Answer: 11-17,SessionID: 9ec52520e8d74511f81455481b14b509cfdde1ebc8682dd2bc3f017d5e50b097,1
20180622,10,28,Answer: 10 and Under,SessionID: 6d425368200b76c0668ab9d5da38b426077a34904beefebdd362cd148d7072c7,1
20180622,11,01,Answer: Skip,SessionID: 36f19c30900468062cc851f03232291d5792847f2d094a439550ccb35b409472,1
20180622,11,04,Answer: Skip,SessionID: 36f19c30900468062cc851f03232291d5792847f2d094a439550ccb35b409472,1
20180622,11,21,Answer: 18+,SessionID: Cc8c62a3b4d58064a5397bfb41c2a4df69fe06a3ce0b1eace52ff91da252d455,1
20180622,11,23,Answer: 10 and Under,SessionID: 7dff2b7a73fa0d58e3317b5a8707dab8253b75615bbf23d043702fe21c7aad72,1
20180622,11,25,Answer: 10 and Under,SessionID: A1ca6d464582b962c8b7714dfa94972cf52ffe51158430d14978140dc24bb21c,1
20180622,11,27,Answer: 18+,SessionID: B701e12ee332da43ceb91200feb350165206cb181d23371eb8d7cdb4e1a1db0f,1
20180622,11,29,Answer: 10 and Under,SessionID: 363ab6804ec29f3d4ccec4f6b19ef1b1388c34b0d18f9ef1b7a289988547f3ff,1
