classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
114991190,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:28:14 UTC,,,"{""session"":""de32a42ac6ca23dede77096044b42d9e309cfadcfbc6284b727192e427ea1468"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:02:35.876Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:22:59.328Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":544,""x2"":623,""y1"":207,""y2"":328,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":547,""x2"":619,""y1"":291,""y2"":242,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436
114991317,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:30:22 UTC,,,"{""session"":""d47178d69536eb0076090441700140a6a3a1144704731251f61817b070c870e3"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:23:44.271Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:25:07.561Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":384,""x2"":342,""y1"":140,""y2"":230,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":283,""x2"":490,""y1"":155,""y2"":258,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":368,""x2"":486,""y1"":243,""y2"":437,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":393,""x2"":460,""y1"":364,""y2"":301,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":85,""x2"":119,""y1"":377,""y2"":316,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":5,""x2"":211,""y1"":281,""y2"":412,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735428"":{""retired"":{""id"":5260787,""workflow_id"":3449,""classifications_count"":1010,""created_at"":""2017-04-03T16:11:25.362Z"",""updated_at"":""2017-04-20T00:15:53.978Z"",""retired_at"":""2017-04-20T00:15:53.947Z"",""subject_id"":8735428,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-55.72711"",""longitude"":""-67.40661"",""image_name"":""BS_1727_stem_100x_ LIGHT EFFect 00083.jpg"",""collector_name"":""Blanka Shaw"",""data_collected"":""Jan 19, 2008"",""other comments"":""On bark""}}",8735428
114991341,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:30:40 UTC,,,"{""session"":""d47178d69536eb0076090441700140a6a3a1144704731251f61817b070c870e3"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:25:12.494Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:25:25.844Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":280,""x2"":253,""y1"":377,""y2"":461,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":210,""x2"":382,""y1"":391,""y2"":473,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":103,""x2"":157,""y1"":373,""y2"":528,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":88,""x2"":162,""y1"":475,""y2"":441,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735453"":{""retired"":{""id"":5337298,""workflow_id"":3449,""classifications_count"":1041,""created_at"":""2017-04-04T15:54:03.840Z"",""updated_at"":""2017-04-20T00:25:42.980Z"",""retired_at"":""2017-04-20T00:25:42.962Z"",""subject_id"":8735453,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.33530944"",""longitude"":""175.2797856"",""image_name"":""PDL_12009_stem_100x_00057.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 24, 2010"",""other comments"":""Common, corticolous on Kunzea aff. ericoides in alluvial forest""}}",8735453
114991356,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:30:59 UTC,,,"{""session"":""d47178d69536eb0076090441700140a6a3a1144704731251f61817b070c870e3"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:25:27.420Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:25:44.009Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":410,""x2"":492,""y1"":318,""y2"":414,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":429,""x2"":463,""y1"":423,""y2"":279,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":507,""x2"":560,""y1"":412,""y2"":425,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":524,""x2"":531,""y1"":366,""y2"":456,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":595,""x2"":682,""y1"":223,""y2"":224,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":623,""x2"":617,""y1"":175,""y2"":290,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":597,""x2"":690,""y1"":27,""y2"":38,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":647,""x2"":674,""y1"":5,""y2"":59,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735462"":{""retired"":{""id"":5262315,""workflow_id"":3449,""classifications_count"":1063,""created_at"":""2017-04-03T17:44:21.845Z"",""updated_at"":""2017-04-20T00:40:29.433Z"",""retired_at"":""2017-04-20T00:40:29.428Z"",""subject_id"":8735462,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00006.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735462
114991367,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:31:08 UTC,,,"{""session"":""d47178d69536eb0076090441700140a6a3a1144704731251f61817b070c870e3"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:25:45.706Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:25:53.478Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":395,""x2"":364,""y1"":312,""y2"":489,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":325,""x2"":431,""y1"":416,""y2"":440,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":71,""x2"":3,""y1"":278,""y2"":380,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":11,""x2"":62,""y1"":271,""y2"":354,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":155,""x2"":149,""y1"":485,""y2"":553,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":106,""x2"":200,""y1"":521,""y2"":521,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":821,""x2"":616,""y1"":128,""y2"":638,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735460"":{""retired"":{""id"":5265758,""workflow_id"":3449,""classifications_count"":1388,""created_at"":""2017-04-03T20:35:22.667Z"",""updated_at"":""2017-04-20T00:16:15.602Z"",""retired_at"":""2017-04-20T00:16:14.834Z"",""subject_id"":8735460,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00005.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735460
114991377,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:31:19 UTC,,,"{""session"":""d47178d69536eb0076090441700140a6a3a1144704731251f61817b070c870e3"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:25:55.276Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:26:04.307Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":548,""x2"":608,""y1"":230,""y2"":313,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":608,""x2"":556,""y1"":222,""y2"":277,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":394,""x2"":465,""y1"":131,""y2"":233,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":469,""x2"":390,""y1"":147,""y2"":200,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":277,""x2"":349,""y1"":36,""y2"":105,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":239,""x2"":298,""y1"":350,""y2"":348,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":288,""x2"":288,""y1"":124,""y2"":124,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":288,""x2"":344,""y1"":124,""y2"":30,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":227,""x2"":249,""y1"":314,""y2"":403,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":88,""x2"":83,""y1"":165,""y2"":263,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":73,""x2"":157,""y1"":200,""y2"":205,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735436"":{""retired"":{""id"":5358844,""workflow_id"":3449,""classifications_count"":1356,""created_at"":""2017-04-04T17:41:45.447Z"",""updated_at"":""2017-04-20T00:09:57.371Z"",""retired_at"":""2017-04-20T00:09:57.330Z"",""subject_id"":8735436,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-41.95131"",""longitude"":""146.71142"",""image_name"":""F_1061443_br_F_X100_00058.jpg"",""collector_name"":""John J. Engel"",""data_collected"":""Jan 4, 2005"",""other comments"":""On bark""}}",8735436
114991502,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:34:16 UTC,,,"{""session"":""2d9c0f8e17abd8542def40445926f63a3b0d553f87994cb7322c51555f019398"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:28:31.646Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:29:01.236Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":393,""x2"":392,""y1"":320,""y2"":294,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":335,""x2"":335,""y1"":381,""y2"":381,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735460"":{""retired"":{""id"":5265758,""workflow_id"":3449,""classifications_count"":1388,""created_at"":""2017-04-03T20:35:22.667Z"",""updated_at"":""2017-04-20T00:16:15.602Z"",""retired_at"":""2017-04-20T00:16:14.834Z"",""subject_id"":8735460,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00005.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735460
114991510,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:34:24 UTC,,,"{""session"":""2d9c0f8e17abd8542def40445926f63a3b0d553f87994cb7322c51555f019398"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:29:07.470Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:29:09.092Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[]}]","{""8735428"":{""retired"":{""id"":5260787,""workflow_id"":3449,""classifications_count"":1010,""created_at"":""2017-04-03T16:11:25.362Z"",""updated_at"":""2017-04-20T00:15:53.978Z"",""retired_at"":""2017-04-20T00:15:53.947Z"",""subject_id"":8735428,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-55.72711"",""longitude"":""-67.40661"",""image_name"":""BS_1727_stem_100x_ LIGHT EFFect 00083.jpg"",""collector_name"":""Blanka Shaw"",""data_collected"":""Jan 19, 2008"",""other comments"":""On bark""}}",8735428
114991621,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:36:29 UTC,,,"{""session"":""2d9c0f8e17abd8542def40445926f63a3b0d553f87994cb7322c51555f019398"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:30:37.847Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:31:14.192Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":407,""x2"":496,""y1"":363,""y2"":359,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":449,""x2"":455,""y1"":269,""y2"":452,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":519,""x2"":528,""y1"":356,""y2"":485,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":488,""x2"":546,""y1"":417,""y2"":414,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735462"":{""retired"":{""id"":5262315,""workflow_id"":3449,""classifications_count"":1063,""created_at"":""2017-04-03T17:44:21.845Z"",""updated_at"":""2017-04-20T00:40:29.433Z"",""retired_at"":""2017-04-20T00:40:29.428Z"",""subject_id"":8735462,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-40.96726"",""longitude"":""175.8757611"",""image_name"":""PLD_12021_branch100x_00006.jpg"",""collector_name"":""Peter de Lange"",""data_collected"":""Feb 26, 2009"",""other comments"":""Corticolous on rohata (Lophomyrtus obcordata) in dense alluvial forest""}}",8735462
114991908,not-logged-in-d3236f798a281008a643,,d3236f798a281008a643,3449,Measure Leaves,5.8,2018-06-21 15:41:08 UTC,,,"{""session"":""bccdf2ce043904ba8e3165a42a9cb412cc413edbce4c10aa4bfc52919faf38ab"",""viewport"":{""width"":1920,""height"":1080},""started_at"":""2018-06-21T15:34:38.941Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-06-21T15:35:52.947Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":534,""naturalWidth"":720,""naturalHeight"":534}]}","[{""task"":""T0"",""task_label"":""Drag your finger to draw lines to mark the **width** and **length** of the microleaves in the image on the left. "",""value"":[{""x1"":481,""x2"":481,""y1"":528,""y2"":528,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":386,""x2"":386,""y1"":85,""y2"":85,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":276,""x2"":274,""y1"":291,""y2"":425,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":245,""x2"":311,""y1"":365,""y2"":365,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":187,""x2"":182,""y1"":357,""y2"":514,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":146,""x2"":228,""y1"":432,""y2"":437,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""},{""x1"":208,""x2"":134,""y1"":174,""y2"":172,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Leaf Ruler""}]}]","{""8735435"":{""retired"":{""id"":5266526,""workflow_id"":3449,""classifications_count"":1288,""created_at"":""2017-04-03T21:06:07.215Z"",""updated_at"":""2017-04-20T00:09:43.383Z"",""retired_at"":""2017-04-20T00:09:43.341Z"",""subject_id"":8735435,""retirement_reason"":""classification_count""},"""":"""",""latitude"":""-29.26666667"",""longitude"":""-177.9166667"",""image_name"":""Dna_F063_stem_100x_00119.jpg"",""collector_name"":""R.J. Stanley"",""data_collected"":""Dec 31, 2001"",""other comments"":""on fallen pohutukawa, with Metalejeunea""}}",8735435
