in_analysis,GenID,isolate,species,Region,subregion,,,Collector,number
D005_chevalieri_NC,D005_chevalieri_NC,D005,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17177
D006_sp_A_NC,D006_cf_microscopica_NC,D006,species B,NC,,New Caledonia,,"Shaw, Blanka",17097
D008_scalaris_NC,D008_scalaris_NC,D008,scalaris,NC,,New Caledonia,,"Shaw, Blanka",17014
D010_microscopica_NC,D010_microscopica_NC,D010,microscopica,NC,,New Caledonia,,"Shaw, Blanka",16744
D012_coastal_NC,D012_Not_chevalieri_NC,D012,coastal,NC,,New Caledonia,,"Shaw, Blanka",17566
D013_chevalieri_NC,D013_npc1_NC,D013,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17281
D057_chevalieri_NC,D057_chevalieri_NC,D057,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17038
D070_chevalieri_NC,D070_npc2_NC,D070,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16575
D201_microscopica_NC,D201_microscopica_NC,D201,microscopica,NC,,New Caledonia,,"Shaw, Blanka",16742a
D207_sp_A_NC,D207_cf_microscopica_NC,D207,species B,NC,,New Caledonia,,"Shaw, Blanka",16752
D208_chevalieri_NC,D208_npc2_NC,D208,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16772
D209_chevalieri_NC,D209_npc2_NC,D209,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16775a
D210_chevalieri_NC,D210_npc2_NC,D210,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16775
D211_microscopica_NC,D211_microscopica_NC,D211,microscopica,NC,,New Caledonia,,"Shaw, Blanka",16783
D212_microscopica_NC,D212_microscopica_NC,D212,microscopica,NC,,New Caledonia,,"Shaw, Blanka",16784
D213_chevalieri_NC,D213_npc2_NC,D213,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16785
D214_chevalieri_NC,D214_chevalieri_NC,D214,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16785a
D216_chevalieri_NC,D216_npc2_NC,D216,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16791
D217_chevalieri_NC,D217_npc2_NC,D217,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16826B
D218_chevalieri_NC,D218_chevalieri_NC,D218,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16792
D219_chevalieri_NC,D219_npc2_NC,D219,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16870
D220_neocaledonica_NC,D220_cf_neocal_NC,D220,neocaledonica,NC,,New Caledonia,,"Shaw, Blanka",16870a
D221_neocaledonica_NC,D221_neocal_NC,D221,neocaledonica,NC,,New Caledonia,,"Shaw, Blanka",16897
D222_chevalieri_NC,D222_npc2_NC,D222,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16898
D223_chevalieri_NC,D223_npc2_NC,D223,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",16909
D224_chevalieri_NC,D224_npc2_NC,D224,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17179
D225_scalaris_NC,D225_scalaris_NC,D225,scalaris,NC,,New Caledonia,,"Shaw, Blanka",17180
D226_chevalieri_NC,D226_chevalieri_NC,D226,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17180a
D227_chevalieri_NC,D227_chevalieri_NC,D227,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17180b
